recommendationid,author_steamid,author_num_games_owned,author_num_reviews,author_playtime_forever,author_playtime_last_two_weeks,author_playtime_at_review,language,review,timestamp_created,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase
191081098,76561199244584073,0,29,1170,1170,30,koreana,"오다리 사먹는다고 만원빌리고 제주도 네오플로 간 ㅇㄱㅇ 돈갚아라

게임은 무난하게 재밌습니다
다만 튜토리얼에서 의도적으로 소울식 플레이를 강요하는데
정작 게임은 진행할수록 액션알피지 쪽이 강해서
소울식 구평플레이 하면 더럽게 체력만 많고 그로기는 안터지고
조금만 휘적대면 스테없어서 빌빌대는 노답겜인데
""카잔스럽게""겜을 하면 확실한 손맛을 보여주고
아트웍이나 파밍시스템까지 취향에맞으면 재밌게할수있는 무난한겜입니다.
장수ip이니만큼 dlc나 후속작에 써먹을 소재도 많으니  기대해봅니다.",1742831843,True,54,20,0.780710577964782715,0,True
191092552,76561198860428448,0,88,334,334,148,koreana,"다크소울 느낌의 필드 구성 + 세키로의 전투맛 살짝 + 나인솔즈의 특수패링 
약간 병맛같으면서도 전투는 또 재밌네..? 이게 무슨 맛이지 ㅋㅋ
그래도 기특하다 넥슨!",1742841184,True,12,0,0.596565604209899902,1,True
191108086,76561198065502044,538,35,5,5,5,koreana,"게임에 딱히 관심없고 구매시 주는 던파 특전 아이템 받으려고 샀는데

아이템 언제 줌",1742855472,True,17,5,0.591882050037384033,14,True
191112385,76561199074752314,0,57,408,408,287,koreana,"준수한 최적화,깔끔한 그래픽,시원한 타격감,원작을 잘 몰라도 이해가능한 주인공의 서사 등등...
모든 면에서 만족할 만큼 잘 나온 것 같습니다

가장 만족스러웠던 점은
소울라이크 특성상 쓸데없는 난해한 스토리를 배제하고 액션과 전투에 집중한 점이 정말 좋았습니다
조작법도 단순한 점이 전투에 몰입할 수 있게 해줬으며,난이도 또한 아주 높게 설정하지 않아 적절히 도전욕구를 자극하게 만들었습니다
소울라이크 게임이지만 누구든 도전 할 수 있게끔 대중성을 잘 고려해서 만든 것 같습니다

개인적으로 추천 할 만한 게임이지만 소울라이크 게임이 어려워 꺼려지거나 이번에 도전해 보려하는 분들은
환불 가능 2시간내에 플레이 해보고 결정하는 것도 나쁘지 않다고 생각합니다
충분히 그 시간내에 결정 할 수 있을 만큼 초반 내용도 알차다고 생각합니다",1742859990,True,6,0,0.550898194313049316,0,True
191134290,76561198069754051,0,2,665,665,217,koreana,"넥슨에서 이런 게임을 만들었다니 믿어지지 않는군요.
이전 국산 소울인 피구라 보다 더 쫀쫀하고 잼있네요. 강추합니다.",1742890291,True,5,0,0.542436718940734863,0,True
191086686,76561198430323549,0,15,649,649,121,koreana,보스 모션이 어색한점이 많고 필드가 진짜 어지러움. 퍼즐이라고 넣어둔 장치는 직관적이지 않고 퍼즐간의 연결성도 잘 모르걨음 심지어 화톳불까지 거리가 진짜 개 시1발에 함정은 지랄나게 많고 몬스터 딜은 푹찍마냥 한방에 반피 이상을 까는 공격이 많음 나중에는 뒤에서 창만던지고있는 내 모습을 볼수있음. 내가 퍼스트 버서커:카잔을 샀는지 아니면 니달리 시뮬레이터를 샀는지 구별이 안감,1742836609,False,28,9,0.534573197364807129,0,True
191118442,76561198084226272,0,1,228,228,228,koreana,"[감상요약]
소울라이크보단 난이도 있는 액션RPG에 초점이 맞춰져있고 쉘셰이딩, 전투리듬, 보스전 다 뭔가 먹을만하게 비벼진 K-비빔밥임. 화풍 때매 코드베인 생각할 수도 있는데 해보면 인왕쪽에 가깝고 작품성도 비슷한데 카잔쪽이 더 취향에는 더 맞았음 추천함

[기타]
바이퍼가 뉴비절단기라던데 기대중
회피 도부가 미래다",1742867240,True,5,0,0.523809552192687988,0,True
191120745,76561198348456598,76,3,388,388,109,koreana,"진심 내 인생겜 앞으로 이거다
타격감 미쳤음 보스전 미쳤음 
진짜 평생 안 쓰던 손가락 각도까지 쓰게됨
패턴 외우다 보면 어제 본 보스가 꿈에도 나옴
근데 또 클리어하면? ""내가 해냄..!""상태 됨 
한마디로 폭.주.미.학.
보스 잡고 나면 나도 같이 헐떡거리고 있음 너무 짜릿함
심박수 140. 혈압상승. 이게 진짜 전투지
전투 할때마다 손끝에서 느껴지는 무게감과 공격 한 방마다 감각적으로 체감되는 충격..
카잔이야 말로 바로 액션의 교과서 아닐까 
그래 옛다 너 올해 고티해라 
참고로 GOTY? 게임 오브 더 이어?
아니다. 이건
""God Of The Year""",1742870059,True,8,0,0.516778528690338135,0,True
191154133,76561198452122705,0,3,258,258,222,koreana,"저스트 가드, 저스트 회피, 패링, 체간 등 지금까지 나온 소울류 게임들을 잘 비벼서 개맛도리임 ㅇㅇ
바선생까지 잡았는데, 패링이 ㄹㅇ 개맛있음",1742914068,True,1,0,0.506578981876373291,0,True
191151032,76561199180923012,12,2,138,138,138,koreana,일단 보스전이 어렵지만 재밌었고 게임이 진행될수록 공격 세팅에 따라 플레이 스타일이 바뀌는 요소가 많은 것도 좋습니다.,1742911786,True,1,0,0.506578981876373291,0,True
