recommendationid,author_steamid,author_num_games_owned,author_num_reviews,author_playtime_forever,author_playtime_last_two_weeks,author_playtime_at_review,language,review,timestamp_created,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase
191349215,76561198033123028,0,49,390,390,318,koreana,이상한 할머니가 집에 찾아와서 살갑게 대해주니까 할머니랑 썸타는 사이가 되어버렸습니다.,1743130232,True,408,607,0.960434794425964355,0,True
191367378,76561198030328888,0,35,99,99,99,koreana,"일단 그래픽은 상당히 수려함 최적화도 이게 말이 되나 싶은 수준으로 잘 되어있음 이건 진짜임

하지만 다른 리뷰들에서도 지적하듯 '지금 당장' 플레이어가 즐기고 게임 내에서의 나를 만들어가며 롤플레잉을 할 만한 거리가 거의 없음 말 그대로 워킹 시뮬레이터 수준임

그냥 걸어다니면서 한글 간판 한글 전단지들 보면서 오오 한번 하고 돌아다니다가 근처 사람이랑 이야기 몇번하고는 끝 아무리 오늘 오픈한 얼액 게임이라지만 컨텐츠가 이정도 수준까지 비어있는건 지금 당장 게임으로써는 실격이라고 생각함

얼액 게임들 오픈시에 컨텐츠가 이정도까지 비어있으면 지금 수준의 평가가 나올수가 없는데 지금의 여론 평가는 그만큼 그 게임회사의 횡포에 지친 사람들이 많다는 증거 같음

가능성은 있어보이나 지금 당장 구매를 하라 혹은 지금 당장 플레이 하라 라고 추천하지는 못하겠음",1743155061,False,293,2,0.849936068058013916,0,True
191351717,76561198033254730,0,16,93,93,19,koreana,"이것은 라이프 시뮬레이터 게임이 아닙니다. 
이것은 모델하우스 인테리어 소프트웨어입니다. 
심지어 가격도 저렴하고, 유저 작성 에셋도 넘쳐날 예정입니다. 
건축모드만 가지고 놀아도 돈값하니깐, 어서 지르세요.",1743133188,True,110,13,0.820994973182678223,1,True
191343417,76561198006243510,1429,119,107,107,36,koreana,"페이셜 캡쳐 ios만 되는구나 ㅠㅠ 아이폰 부러운거 이번이 처음... 
정식 출시까지 얼마나 발전할지 기대됨",1743123661,True,95,3,0.857366859912872314,0,True
191347605,76561198016583235,0,2,509,509,109,koreana,"최근 평가가 안좋아서 걱정이 많았는데, 기대이상으로 잘 나온거 같네요.
앞으로 컨텐츠를 꾸준히 업데이트하고, 모드도 나오고 그러면 발전가능성이 무궁무진할거 같습니다.",1743128356,True,50,2,0.728389918804168701,0,True
191373336,76561198052776703,203,36,143,143,80,koreana,"심즈도 그랬지만 인조이도 기본 베이스 게임은 그닥 할게 없습니다. 아직까진 그냥 산책 시뮬레이터에요.
캐릭터 커스터마이징 기능이 뭔가 많긴한데 뭔가 살짝 불편하고 조잡하다는 느낌을 받았습니다.

건축에서 시간을 보내기 좋아하신다면 추천드립니다. 심즈에는 없는 레이트레이싱 효과, 나만의 가구 등을 통해 좀 더 화려한 집꾸미기가 가능합니다.
아직 출시한지 얼마 안됐고 앞으로 나올 컨텐츠들로 채워지면 어떻게 될지 지켜봐야 할 것 같네요.

아쉬운 점은 역시 너무나 높은 권장사양으로 대부분의 유저들이 쾌적하게 게임을 즐기기 어렵다는 점이 있습니다.
저는 RTX3080인데 조금 버벅대는 느낌을 받았습니다.

지금 당장은 이 가격주고 사라고는 추천드리긴 힘들 것 같습니다.",1743162227,True,29,0,0.714069247245788574,0,True
191378347,76561198010179348,0,6,146,146,74,koreana,"가격 정책 측면만 보면 얼리 액세스인데도 불구하고  초반부터 한국 원화로 6-7만원 넘게 받아먹거나 6-7만원 대로 가격 책정해놓고 10-20퍼 할인한다고 생색내거나 얼리액세스 기간 동안 DLC  여러개 풀고 다 유료로 다 받아먹는 양심 없는 제작사들에 비하면 낫다고 본다

그건 그렇고 심즈를 무척 좋아했었는데 지금 EA 꼬라지 보면 답도 없는데다 애니메이션 스타일이 아닌 현실적인 심즈를 원했던 내게는 남들이 뭐라하든 이 게임이 적합하고 최고다

마지막으로 게임 특성상 사양을 많이 먹다보니 생기는 문제들이 있다
스터터링, 메인 메뉴 로딩 전 긴 셰이더 컴파일링 등

일단 스터터링,긴 인트로,얼리 액세스에서 텍스처 너프된 하이퀄 텍스처를 해결하고 싶을텐데 넥서스 모드(Nexusmods) 가면 최적화, 스킵 인트로, 모드 에너블러(바닐라 게임에 모드 설치 가능하게 해주는 거), 하이퀄 스킨 텍스쳐 구현, 배경 텍스처 개선 모드 등 있으니까 모드 페이지 디스크립션 정독하고 설치하면 됨(링크 안 걸리면 구글링해서 Nexusmods 사이트 검색해서 거기서 search탭에서 Game탭 선택 후 InZOI 검색해서 찾아들어가면 됨) 

https://www.nexusmods.com/games/inzoi

그리고 제작사 크래프톤이 정식 출시 전 DLC 무료 정책 그대로 유지한다고 했으니 그 약속 잘 지키고 최적화 중점 두면서 월드 확장만 꾸준히 한다면 명작 게임 위상에 오를 거다 
유저와의 약속을 잘 지키고 신뢰를 얻어야 인조이가 더 좋은 평가를 받고 장기흥행에 돌입할 것이다

추가적으로 내 개인적 의견을 적자면 특히나 해외에서는 유튜브나 디스코드 채널만 봐도 반응이 상당히 좋은데-전체는 아니겠지만 EA의 심즈 패악질과 현실적 심즈에 대한 갈증이 한몫했다고 본다-오히려 한국에서는 무지성으로 한국 게임 자체를 폄하하는 부류들이 문제라고 본다
시스템적인 실제 문제 발생을 지적하거나 사양이 높아서 최적화를 원한다던지 합리적인 지적은 이해하지만 그런 것이 아닌 부류 말이다


P의 거짓, 데이브 더 다이브, 스컬, 산나비, 퍼스트 버서커 카잔 등 요즘 들어 걸작이라 칭할만하거나 개발중이지만 새로운 시도 중인 게임들도 점진적으로 늘어나고있으니 부정적으로만 볼 필요는 없다

항상 말나오는 리니지 스타일 양산형 핵과금 형신 게임 안 하면 그만이고 그런 게임들과 위의 게임들은 다르기에 완성도 높거나 새로운 시도를 하는 한국산 게임들을 응원하고 사줘야 한국 게임 산업 발전으로 직결되니까 논리적, 객관적으로 필터링해서 형신 게임은 거르고 괜찮은 게임들 구매하고 플레이하면 됨",1743167423,True,28,0,0.696076929569244385,0,True
191370839,76561198117808675,119,16,148,148,145,koreana,"수정 부탁드려요 개발자 형님들

캐릭터들 나이 고정 옵션 추가
-뭐좀 할라그러면 바로 중년되어 버려서 팍식음
 
대화 누를시에 근처에 있으면 대화 가능
- 상호작용 누르면 먹던것도 다 버리고 얼굴 마주보고 대화해야돠서 답답함

커스터마이징떄 얼굴이랑 인겜이랑 너무 차이남
-ㄹㅇ 같은캐인가 싶을 정도로 눈을 의심하게 되는정도

아직 개발초기 얼리억섹1스라 이해되는 부분이고 게임 자체는 괜찮음",1743159421,True,42,3,0.719553112983703613,0,True
191355463,76561198129589363,0,2,505,505,213,koreana,"얼액이라지만 좀더 개발을 하고 내놓지 그랬어요.
직업도 일부만 할수 있으면 할수 없는 직업은 적어놓거나 막아놓지 그랬어요.

아니.. 게임으로서의 기능이.. 없어요 그냥
이건 인생 시뮬레이터가 아니라 산책시뮬레이터잖아요.

이상태로는 10시간도 못해요. 어떻게 합니까 이지경인 게임을 계속;",1743137981,False,235,7,0.756883442401885986,44,True
191474101,76561198958615394,0,5,412,412,412,koreana,"안녕하세요 선생님.
저는 7시간 동안 아이돌이 되고자 열심히 돈도 아끼고 공과금 아끼겠다고
전기 조명도 다 없애고 살아왔는데,
중년이 되었다고 정년 퇴직을 권유받았습니다.
이건 정말 말이 안된다고 생각합니다.
아이돌을 하다가 데뷔도 하지 못하고 중년이 되다니요..
현실을 노리신거라면 정말 잘 저격하신거라고 생각하지만, 
저는 현실을 도피하고자 이 게임을 선택한것이온데
현실의 냉혹함을 마주하게되니 정말 슬프네요
선생님
큰 걸 바라는게 아닙니다.
데뷔만하게해주세요
이사님과 친해지고, 알랑방귀를 뀌어도 정년퇴직 앞에서 무력함을 느꼈습니다.
데뷔하고싶어요
제발..",1743258413,True,17,13,0.727762401103973389,0,True
